Heading,Body,Star Rating,Date
Disappointing Experience - Inflexible Name Change Policy,"I am writing to express my extreme disappointment and frustration with the service I received regarding my recent booking with your airline. Despite my best efforts to seek assistance, I was met with an inflexible and unsatisfactory response concerning a simple name change on my E-ticket.Booking Reference Number: 706-2304685247I made the reservation in good faith, ensuring that all the information I provided was accurate. However, due to unforeseen circumstances, I had to change my travel plans, and in doing so, I realized that my name on the E-ticket was not correctly entered.I immediately contacted your customer service to request a name change to rectify this honest mistake. To my dismay, I was informed that the airline's policy does not allow any changes to be made to the passenger name on an E-ticket, regardless of the circumstances or supporting documentation provided.This rigid policy is deeply concerning, as it fails to take into account genuine situations like mine, where a simple name correction was needed to ensure a smooth travel experience. It is disheartening to see that the airline prioritizes strict adherence to policies over customer satisfaction and reasonable accommodations.this incident has left me feeling undervalued and unheard. As a result, I felt compelled to share my experience with others, which is something I hoped to avoid. However, it is crucial that potential customers are aware of the lack of flexibility and understanding they may encounter when booking with your airline.I understand that policies are in place for a reason, but I strongly believe that exceptions can and should be made when necessary, especially for minor changes like this. A more customer-centric approach in such situations would go a long way in building trust and loyalty among passengers.I sincerely hope that my feedback will prompt your airline to reconsider its stance on name changes and adopt a more compassionate and accommodating approach in the future.Yours sincerely,",,2023-08-03T19:54:52.000Z
"“WORSE EXPERIENCE EVER, TRY TO AVOID AT ALL COST”","It all started on 11th January 2023 we (I Mr. EGEJURU RICHARD and my family) flew from Dubai to Lagos after a transit stop at Nairobi through (Flight KQ311 and KQ532).At Dubai airport Jetway/Loading Bridge, the airways Staff took my hand luggage which contains important items, and gave me a tag, they said; I will receive my bag at arrival.On arrival at Murtala Muhammad Airport, many of us waited for our hand Luggage until a staff came with a list and told us that all the hand luggage that was collected was not loaded in the airplane, and he collected our details like Surname and the gate bag tag(XH964321) and mobile number, which they can contact us with, and that we should call by 6pm next day, which I called as instructed and was told that the bag didn't arrive with the next day plane, it is so annoying that after all these days one month gone, yet my I have not seen my hand luggage.We all knows that must time our valuable things are kept on our hand carrier, all my clothes and many other items in my hand luggage as someone going for vacation till my vacation date elapsed and I return back to UAE as I have residence visa my hand carrier is still no where to be found. I have sent several emails to Kenya Airways Guest Support on customer.relations@kenya-airways. com with no meaningful reply only from their automated response confirming to receive my mail several times, with no effort at all.This is the worst airline I have ever experience ever since I have been flying from different countries, even for the air hostess to give water to a passenger is a big deal, they will come with a very little disposable cup and you request to fill it, it will be like you are demanding for too much.I paid approximately 1,500 Dirhams for my TV handling and luggage, they couldn't handle it carefully I received a broken screen TV at Murtala Muhammad Airport which is so annoying after all the stress.Now am back to Dubai without seeing my hand luggage, what is the need of my vacation as I couldn't get all the items I have packed for my vacation, if possible I would've even cancel my returning ticket and fly with another airline, this is so painful and unacceptable, Kenya Airways are supposed to pay for",1,2023-02-12T07:01:03.000Z
They cut too deep!😒😞😔😟😕🙁☹️😣😖😫😩🥺😢😭😤😠😡🤬🤬🤬🤬,"I don’t even know where to start because I’m still trying to find a sense of peace from the pain I feel today because of KQ.See my husband and I have been loyal customers of KQ for a very long while now. Our two kids have been using the airline since year 7 and year 8 and now uni whilst our daughter is matriculating respectively. And in these years we’ve had many mishaps from cancelled flights to tampering and theft of personal products but nothing that can make us run a mile away. This year has been another story all together 3 times my underage daughters flights have been cancelled or changed without prior warning and when contacted I get the same we have no other alternative.Today it hit the fan because I’m scheduled to attend my daughters graduation tomorrow from 9.30am to 1.30pm. Tuesday night I got an email notifying me that they had cancelled my scheduled flight and rebooked me onto another that would arrive even earlier than the original flight. That made me super happy because I would have time to relax as opposed to the original where I would have arrived late at night and get little sleep.Move forward to today, I got to the airport at 1am and checked in, before doing the documents check I noticed that my boarding pass was showing something completely different from the ticket itinerary they sent me after they did the rebooking. Now I have to fly at 8pm because they did another change without letting me know and even after I had specified to the customer service lady that did the first change before notifying that as long as I get to Cape Town before the 15th I’m good with the change. She assured me I’d be reaching today (14th) at 3.55pm. As did another lady confirm I’d be landing in Cape Town on the 14th at 3.55pm.I notified the ground flight attendants of the mix up and their superior tried her level best to get me on the flight but to no avail. No one from the Head office picked up the phone when the Grounds supervisor kept calling countless times till the phone rung off on all times. I was at the airport this morning till 20minutes after the plane took off without me.I have my hotel booked, paid for the duration of my stay and it’s non refundable. My daughters Valedictory Ceremony is tomorrow and I’ve been rescheduled to get to Cape Town 5minutes after the ceremony finished. I shed tears at the airport because this hurt too much and I didn’t want to be mean to the lady on ground as this was not her doing but the doing of HQ.Not too long ago I finally managed to get through to their customer care line and requested for an alternative to be found via Johannesburg. They told me BA is full, Comair is not operating and the other two solutions is to stick to the newly changed ticket or unfortunately find my own means to get to Cape Town from JHB. I pointed out that I paid in full to get to Cape Town and surely because this whole muck up is their fault and they need to take responsibility for the cost but she said no unfortunately we can’t.Now I’m scheduled to get to Cape Town after my child valedictory has already finished. As I’m writing she’s been on the phone with my husband crying because she will be the only child without any of her parents or any family cheering her on. I’m always the one with the solution but for once I’m left without one I can cling onto to make this work. I’m very hurt and disappointed and for the first time in all the series of mishaps this has tainted my view of Kenya airways. What they have put me through can never be undone, my child’s cry hurts me so much and also because of lack of effort to ensure a loyal customers expectations are met.I emphasis that Kenya Airways need to reevaluate their Customer Service system because they just hurt one of their loyal and I’m sure there are many more out there but I speak for myself and over what I’ve been subjected to today (14/10/2021).You cut me too deep and it can never be undone ever.MNR",2,2021-10-14T06:09:58.000Z
Strong Displeasure: Denial of Boarding and Inadequate Refund,"I am writing to express my utmost disappointment and frustration regarding the recent incident that occurred on 23 June 2023 when I was denied boarding on my scheduled flight from Johannesburg to New York via Nairobi. The reason for this denial was an error in your system that displayed my surname as my middle name, despite my correction during the check-in process. Despite the correctness of my first name, other middle name, and passport details, I was unjustly denied the opportunity to embark on my journey.I cannot begin to emphasize the inconveniences and distress caused by this situation. It is beyond comprehension that such a minor discrepancy in my name, which was clearly inputted correctly by me during the check-in process, would result in the denial of my rightful passage. This error not only reflects a lack of attention to detail on the part of your staff but also highlights a blatant disregard for customer satisfaction and basic human empathy.Moreover, the fact that your proposed resolution is only a partial refund is entirely unacceptable. I entrusted Kenya Airways with my travel plans, assuming that I would receive the service I paid for. However, I was met with an incredible display of incompetence and was forced to endure the distress and financial burden resulting from your system's error. It is only fair that I am fully compensated for the inconvenience, emotional distress, and financial losses I have incurred as a result of this incident.As a result, I now find myself in a position where I must think carefully before booking with Kenya Airways again in the future. The trust and confidence I once had have been significantly undermined. It is disheartening to consider that such a simple error in your system, combined with an unsatisfactory resolution, can result in a loyal customer losing faith in an airline they have previously relied.I implore you to take immediate action to rectify this situation. I expect a prompt and comprehensive response, addressing the following concerns:1. An explanation for the systemic error that led to the incorrect display of my surname as my middle name in your system, despite my correction during the check-in process.2. A sincere apology for the distress and inconvenience caused by your staff's decision to deny me boarding based on this error.3. A full refund of the expenses incurred for the denied flight, including any additional costs resulting from this incident.4. Assurances that measures will be taken to prevent such errors from happening in the future and to ensure that customers are treated with respect and fairness.Failure to address my concerns and provide a satisfactory resolution will leave me with no choice but to escalate this matter through appropriate channels. I will not hesitate to share my unfortunate experience on various public platforms, warning potential travelers about the poor service and disregard for customer rights demonstrated by Kenya Airways.I trust that you will understand the gravity of this situation and take immediate steps to rectify it. I eagerly await your prompt response.",,2023-07-05T10:34:49.000Z
It was my first time to travel with a…,"It was my first time to travel with a Kenyan airline so we went to the airport with my family I would say it was a nightmare customer service is very very poor, stuff was panicking no one was there to answer our question all we got was I'm busy ,yet we are the same people who pay for these services, stuff were very rude to me, I did understand that I didn't apply for a visa to travel but at least someone would have listened to me no one cared because they were running late to close the gates yet we waited patiently for some one to help us I will Never never ever travel with kenyan airline I was so disappointed!!!!",,2022-01-23T21:00:53.000Z
best african airline out there,A totally disreputable airline never ever use then,,2021-05-13T20:08:15.000Z
A totally disreputable airline never…,Kenya airways ticket booking problem. I got charged for $600 dollars but i havent received the ticket. I spend more to call support nothing is happening up till now. Did i get scammed?,1,2021-07-25T13:25:35.000Z
Kenya airways ticket booking problem,terrible experience and extremely rude staff in destinations outside of Kenya,,2022-08-22T14:18:43.000Z
Poor customer service...,"Unable to fly due to covid 19, issued a voucher to use by June 21, however we didn’t want to use it and wouldn’t give us a refund! Eventually said we were entitled to full refund however wouldn’t give it when the travel agents tried to get it for us! Will never use this airline! TERRIBLE service",,2021-01-26T13:50:23.000Z
Do not fly with this airline!,"During the covid time they have cancelled my flights x6 times and told me refund takes 90 days, surely I didnt take it as I needed to go asap.  Unforseen circumstances & lockdowns, I understand BUT their service is putting salt in the wound when they confirmed a departure.  1st flight I received a cancellation email, the other 5 flights I called a day before to check cancellation.  I held the line for 2+ hrs, money wasted & they said they cancelled the flight a week ago.  Then I rebooked & told me to add more money, which I did.    That went on until I was immune to their lies.  Why give me you word when you doubt?  I lost 2 tickets from my connection flights, emotions in-between were priceless.  I literally begged them to not forget me when there was flights going, they forgot me & 1 consultant said they were not flying i must check in 2 weeks, following hour I called to cancel, the another one said 1st flight went already.  It came to a point whereby I could not believe the level of ugly service they gave.  I called my family and told them I dont know when I will arrive home, no months / date estimation.  You cant trust what they say, ever.  No one should experience that, esp when you pay.  I dont wish for anyone to EVER go thru that!!  Imagine paying for torture for 2 months, just because they are holding your money - 90 days refund is there to put us off and continue rebooking.",,2021-01-20T14:38:20.000Z
Worst Airline Ever!!! AVOID,It is completely unacceptable that the airline is not providing refunds for cancelled flights due to covid! My flight was cancelled BY THE AIRLINE more than a month before our flight and they are refusing to refund us. I don’t want a travel voucher as I can no longer afford to travel in future and desperately need my hard earned money back!!!,,2020-12-06T21:41:35.000Z
It is completely unacceptable that the…,I have given 1 star only because you have to award at least 1.I would advise anyone considering booking with Kenya airways not to we booked 6 rtn tickets and they were cancelled due to Covid.Although the law states we should get a full refund we still have not received one we keep getting told 45 days.Well 45 days has come and gone at least three times. They are not to be trusted  even if you do get through to customer services the staff are no help they just say they well register your concerns but they dont do that properly.,,2020-12-03T19:19:08.000Z
DO not trust KENYA AIRWAYS,"Kenya Airways has the worst Customer Servce for an airline.  I had an injury on a` KQ flight back in Aug 2019 .  I am still corresponding with the airline including to the CEO.  They do not bother to response , they do not seem to understand the concept of cromer service and the importance of the passenger",,2020-09-08T14:30:06.000Z
Kenya Airways has the worst Customer…,"Surprisingly my husband and I was able to get 95% of the 4 return domestic ticket cost back from Kenya Airways. It didn't take too long and we were able to get someone on the phone to get our money back. They kept the 5% because the credit card company will charge them but our credit card company gave the 5% back. I am honestly very surprised that so many people have not yet received their money back given this situation. I would have expected better.However, it is East African Airlines that I have had the worst experience. They do not pick up calls, no email notification of cancellations, NOTHING. They have straight up decided to ignore our pleas.",,2020-07-30T20:12:30.000Z
Surprisingly my husband and I was able…,"I love and support Kenya Airways,and had one of the best experiences in my life flying to Kenya.A experience I will never forget, I am proud of Kenya Airways 🇰🇪",,2020-06-22T18:05:58.000Z
"I love and support Kenya Airways,and…","Appalled - absolutely APPALLED at the AWFUL, inept, inconsiderate and general shoddy Customer Service from Kenya Airways who are INSISTING we have NO CHOICE but to take a voucher. We don’t want a voucher - it offers us NO guarantees or protection!Kenya Airways, you don’t deserve to fly in the Skies cos you are going against EU Regulation 261 with regards to travel and our entitlement to a FULL refund. However you think you are above the Law, think you can ‘destroy’ people because we’re inconsequential to you!I will However KEEP ON FIGHTING to get our refund and if that means writing a review every day, then so be it!I always believe in giving credit where credit is due and I will shout loudly at fantastic service and promote any company positively. However I will not hesitate in exposing companies who give shoddy Customer Service and rip off the public.Sadly KA is NOT Customer focussed and if they were, they wouldn’t treat a disabled person with such disdain and be flippant in their actions. Not would they be ignorant to the needs of a new mother and the anxiety she faces with new baby and as a whole be so ignorant (they’ve been told many times) of the emotional turmoil our journey/‘holiday’ was ..... it truly has been an eye-opener how little they care of the fact that our trip was an emotional rollercoaster!So my advice is to anyone wanting to travel KA, find another provider - between them and Travel Trolley, I despair and remain very disheartened with them!",1,2020-05-30T20:32:24.000Z
"Uncaring, Unresponsive, Unimpressed!!!","For at least the last 5 days, their modify-booking form is not working: the form accept only 5 characters, while the ""Booking reservation number"" they sent me once I paid, has 6 characters.I told them already in twitter some days ago, but the issue is still opentheir ""upgrade form"" accepts a   ""Booking reservation number""  with a lot of characters, but anyhow it says that my number and name is wrong!How can they do such mistakes?",1,2020-05-29T13:06:56.000Z
Never had any issues,"Despite on the website is advertised the flexibility in fully refund the ticket if in need, in fact they don't!After my flight got cancelled due to the COVID19, I have asked for a refund and I have been told they can only give me a voucher open for a year. NO CASH REFUND!!!!!!!!I want to underline that I bought the ticket online and there was the full availability, despite they knew they could not fly, in fact the flight got cancelled immediately after I booked.",1,2020-05-22T21:50:19.000Z
modify booking web form wrong!,"Kenya Airways are being ILLEGAL towards costumers who have had flights cancelled. Under EU regulation due to the flight leaving from the EU, customers should be provided with a full refund. However, the airline are refusing to comply with my legal rights. I am disappointed that this airline are using policies that go against EU regulation!",1,2020-05-17T11:59:53.000Z
Dishonest,"NO CUSTOMER SUPPORTMy flight has been cancelled and I did not receive any information from them. I found out at time of check in.Additionally when i called asking for an alternative return back home flight, I have been told the offices in Zanzibar are closed.I had to buy another ticket with a different company.",1,2020-04-29T12:44:32.000Z
Kenya Airways policies are ILLEGAL,"For the past ten years I have flown at least 40 KQ flights per year. I have been a Flying Blue Platinum member for 6 years but now I give up. I will not book any of my family ever. My trip was aborted in Nairobi and I lost two tickets. I sent a complaint and it’s been two months no response. Sad to say my KQ is NO longer the Pride of Africa. If the $10,000 I would spend on them per year wasn’t anything worth their time to respond to my needs - I withdraw.",1,2020-04-07T17:00:57.000Z
NO CUSTOMER SUPPORT,"I've travelled LHR to NBO many times with KQ, night flight and direct.  This last time was abysmal, no alcohol at all on the flight out and only wine or beer coming back. Seems they've cut corners and ditched what is a regular feature on most (decent) scheduled flights and also reduced the luggage allowance from 2 X 23kg per person to just the one case. And no change in the cost of the tickets. I know KQ are allegedly struggling but cutting back will only push customers to use other airlines routes. I'll be looking elsewhere for my next trip to Kenya, for sure.",4,2020-04-01T08:13:41.000Z
Giving away my Platinum card for another airline,"We traveled business and thought we would be treated with respect, but no. Our flight was supposed to depart at 11:59pm on January 5, 2020. We went to the airport at 9:45pm only to find out on the screen that the flight was delayed by 7 hours due to operational reasons.The airline did not inform us of this delay at all.At 02:43am January 6, 2020, we received an email informing us the flight was delayed. Nearly 3 hours after the original departure time we got notified. OH WELL DONE!!And of course no compensation was offered to us because this is an African airline that is not regulated by any reasonable laws.",,2020-03-16T23:56:05.000Z
On a downward slope,"My booking page shows an error when trying to alter meal requests and recommended getting in touch with customer support - when going to the suggested customer chat online, I spoke to Halima who listened to my issue and then promptly disconnected herself. I was then put back in the queue and repeatedly disconnected. I hadn't been rude and thought this would be a super simple issue to fix. I then found out that my customer account had been disabled.Pretty appalling service here.",,2020-02-13T17:52:09.000Z
"7h delay, no notification in advance, no compensation afterwards",Honestly the booking process was easy and I had no complaints regarding the flight experience. However that the airway hasn't been accredited by international flight organisations still worries me and there must be a reason for this. Looking forward to updates on this.,,2020-01-28T09:16:19.000Z
The worst online customer support,Booked in sept London to Nairobi ...flights good but no alcohol on the return journey a mistake cheap I guess....my return flight to Nairobi was changed 24 hours before brought forward by 8 hours meaning 10 hours at Nairobi airport ...asked at Mombasa Kenya airways office but no luck so I booked an hotel at 75 us only to find attached Nairobi they were giving out rooms free ...reason given for change was runway closure but found out later it was a lie cost cutting exercise that had happened before...this came from an air steward.....Kenya airways on a downward slope,5,2020-01-16T10:36:54.000Z
"If you can avoid flying with them, you should!","I have heard a lot of negative feedback about Kenya Airways, which made me hesitant to book with them. However, last year I gave it a try and I wish I would not have considered them at all.Their service on ground is horrible!We booked a flight from Entebbe, Uganda to Zanzibar to spend a few days at the beach after our long safari. As we were at the airport for our 16:00hrs flight, we were informed at the check-in counter that the flight from NBO to ZNZ was cancelled. That can happen, but we have not received any information from KQ - nor email or message, nothing! The next flight was leaving leaving Nairobi was 7 hours later! However, there was nothing we could do. We took our flight from Entebbe to Nairobi, where we spend 7 hours at the airport. As we reached Nairobi, we went to the service desk to ask if there would be any compensation for cancelling our flight short notice without even informing us. After 1 hour of intense discussion, we received a voucher for the restaurant. Well, we thought ""better than nothing"". As we set down at the restaurant, we has the choice between rice and a (very tasteless) chicken stew, rice and a beef stew and rice and vegetables. We could not even order a simple salad from the menu with the vouchers we received from the service desk. Very poor! After 7 hours at Nairobi Airport, we finally continued our journey to Zanzibar. We arrived in the middle of the night with an 7 hour delay, our booked airport transfer was of course not waiting for 7 hours at the airport, so we had to find our way to our hotel by our selves.On the way back, we arrived in Entebbe without our luggage. The luggage cam then 7(!) days later, though there are several flights service this route a day!We complained, but no response to our emails was ever received. Calling the service center was also without any success. After a while we gave up.This airline is really ridiculous. You should avoid flying with them, if you can!",,2019-08-19T13:56:02.000Z
Wonderful experience,"Wonderful experience, travelled from Addis Ababa to Nairobi and even though we left late, we still arrived on time.The flight was a short flight so they gave us some muffin and some roll and also a drink and a tea.It was cool, i was able to choose my seat for free and i was lucky to have no one sitting next to me. Loved it.",,2019-07-06T17:04:12.000Z
Definitely room for improvement…,Definitely room for improvement especially when it comes to handling their passengers.,,2019-05-18T10:45:52.000Z
Time to say goodbye to Kenya Airways a…,"Time to say goodbye to Kenya Airways a truly poo company with even worse customer service.  Save yourself the pain and book with another company.  Or walk, it will be quicker, I promise you.",,2019-05-03T23:38:28.000Z
A delay of twelve and a half hours and lost luggage.,We had a delay of twelve and a half hours and a few other disruptions:1. Original flight KQ256 was canceled without a reason given.2. The next flight KQ262 was suposed to leave at 22:45 but we did not leave till 1am. During this time we sat on a fairly warm plane with little information about what was going to happen.3. When we finally arrived in Antanarivo we found out that our luggage was not loaded onto the plane. Eventually we got told it might be on the next flight and arrive at 15:00 but that flight was also delayed and we only recieved our luggage after 19:00. Again the information provided on the screens or from the personal at Kenya Airways was lacking.,,2019-04-24T18:20:47.000Z
Don't ever fly with Kenya Airways,Don't ever fly with Kenya Airways - they are untrustworthig and take no responsibily at all for their own mistakes.On April 2 2018 we were not allowed on our booked and payed homeflight back from Dar es Salam to Denmark. We were told the ticket was cancelled due to no show on our outbound trip.On the way out our regular flight from Nairobi to Dar was cancelled and Keyna Airways staff showed us to a new plane - hardly our fault.Keyna blames KLM that we tavelled with from Denmark to Amsterdam but it clearly is KQ's fault - which they actually also admitted. However they claim KLM hold the money. Again that hardly is my fault. The whole thing cost me USD 2.000 for a ticket back to Denmark and now after fightning with the company for 10 months I give up. I will do what ever I can to tell the story to friends so they never ever fly with KQ.Its a lot of money for me to have lost and I still cant believe that a so called professional company will allow their customers to end up in such a mess.My contact person Ahlaam Ganzel in KQ has been of no help at all,,2019-02-12T11:18:14.000Z
Kenya Airways – Factor in Ransom Payments,"I was super excited to travel to Zimbabwe and see Africa for the first time and got the perfect excuse when one of my closest friends from college planned her wedding in Harare. My outbound flight on American Airlines was cancelled due to weather, leading to me missing my connecting flight on Kenya Airways. While this was unpleasant, no one can control the weather, and AA helped re-book me on a later Kenya Airways flight into Harare, Zimbabwe, so I made it on time to the wedding.After a few weeks of seeing Victoria Falls and making friends with lions, I got back to check into my flight back to the States with Kenya Airways. The attendant there helpfully let me know that I had been marked as a “no-show” on my outbound flight, and now my return ticket was cancelled as a result. After arguing that I clearly was re-booked on a later outbound flight, given my presence in Zimbabwe, and would very much like to return home, Kenya Airways told me I could get on the flight if I paid a “penalty” of $1200. As I had already paid for a round trip ticket, which typically include a flight home, I indignantly refused to pay for my flight a second time and wound up missing the morning flight. Two more flights back to the States came and went, and I missed all of those flights as Kenya Airways demanded ransom payments to let me out of the sweltering hot airport onto a plane. I racked up hours of international cell phone call payments with American Airlines customer service and my travel agent, who all let me know that Kenya Airways was not picking up the phone, and they were the only ones who could get me on one of their planes.16 hours later, having missed every single flight that day, I finally gave in and paid the $1200 “penalty,” or really, the ransom payment, in addition to the $1600 round trip ticket I had already paid, and Kenya Airways let me on the flight back home. For the privilege of nearly doubling the cost of my plane ticket, I also had a 17 hour layover in Nairobi, after which Kenya Airways told me my flight to JFK was overbooked. At this point I had resigned myself to the fact I had probably died and was in some new circle of airline hell, but fortunately Kenya Airways did one thing right and found a seat for me onto the flight back to the States, which I had paid for twice. All in all, I wound up spending nearly four days total in airplanes and airports, racking up international phone charges, and nearly doubling the cost of my Kenya Airways ticket.Kenya Airways, the Pride of Africa.",,2019-01-08T16:42:57.000Z
“Delayed” luggage - poor customer service,Flight from Paris to Nairobi. Lost both cases. After 6 days we got our cases back (damaged and broken) missed taking vital medication due to this and also clothes for safari which we needed.Refused to answer emails and phone calls just hung up on you when you asked a question.Offered $100 which is insulting after that was spent in just medication. We had lie and lie where my luggage was and when it was being delivered. In the end we paid someone else to collect the luggage as Kenya Airways were too incompetent to do that. Ruined our holiday and my 12 month planned engagement!Avoid this airline at all costs. We were 2 of 10 on our flight and we saw more when we returned to the airport!,,2019-01-08T14:47:25.000Z
They lie about a cancelled flight!,"They have changed my flight because my initial flight was cancelled. I know for a matter of fact that the flight is NOT cancelled as I know some people that were on the flight. I had to book a new flight, which was more expensive than my initial flight. I find it very questionable that an airline lies to you like that.",,2018-12-24T12:22:49.000Z
Customer Service UNHELPFUL,"Customer Service line (online chat service) was really not helpful at all. Response time of the person on the other side was worryingly slow that I almost clicked out of the chat several times. On top of that, the responses which were given to my queries concerning my inability to check in online was to go check with the other airline (which is code-sharing a flight) and then come back to the Kenya Airways website and try again. However, I found that this was a really unacceptable response considering that the ticket was issued by Kenya Airways and not the code shared airline. Until now, my questions still have not been answered, and I am hoping that I will be able to check in tomorrow with a seat selected.Some feedback: A quick response, or acknowledgement that the message received would have been much better - regardless of whether or not the customer service agent had an answer to my question. This would have assured me that there was someone on the line.",,2018-12-16T05:47:50.000Z
Robbers!!,Absolutely disgusted with the serviceI paid for my ticket and Kenya Airways charged me twice. I’ve been trying to get my money back for a year and still no luck! Their customer service department is uncontactable and unresponsive. It’s probably the worst I have ever experienced. I continue to call and send emails and no one ever replies. Unsure of what the next step is to get my money back!,1,2018-11-28T20:41:07.000Z
Very happy with Kenya Airways,Very happy with Kenya Airways. High service standards and always use them for my trips abroad. Keep up the good work..,,2018-10-17T14:30:56.000Z
Flight to Kenya,"Flight to KenyaI came across Kenya airways while searching for flights to Nairobi from London. The price was attractive with the direct connection excited me to book a seat last summer. I also managed to secure a connecting flight to Mombasa with the airline, which was arranged from London.  The on board services were seemed to be average rated be professional staff conduct and their effective customer services. I will be planning to use the airline for next year African Safari holidays with my family",,2018-09-20T13:57:09.000Z
Worst flight experience ever,"I can only recommend to anyone to avoid this airline. I would even pay a bit more, just to avoid Kenya. First, our flight was canceled and we were given no information of Kenya why. The next one went only 24h later. During this time, they provided us accommodation, but only two meals. When I asked for a third, they declined. When I said that I disagree, they simply said I could file a complaint to their main office.On board, our ordered special meals were missing. Once finally arrived, my bag was missing. They managed at least to get it to my hotel within 24h.When I wanted to introduce compensation claims (for the flight and baggage delays), they sent me from one office to another. Up to this date, the claims are still pending and I am not sure to get any form of compensation for the stress, energy and extra expenses.",,2018-09-05T14:33:28.000Z
Kenyans should learn to have undying…,"Kenyans should learn to have undying trust in their government-owned institutions, even when they are bleeding millions of dollars each quarter and their share prices are falling faster than any other listed stock in East Africa.",5,2018-08-02T11:43:02.000Z
Recommended African Airline,"Excellent african airline! Last year when I was volunteering in Victoria Falls and wanted to go on vacation in Cape Town for a week, I booked my flights with Kenya Airways. The crew were nice to the passengers, the seats were nice & clean, and there was enough leg space as well. Additionally, food and drinks was included in the price, which was fairly cheap (400 USD for a return ticket). Also, the flight was very comfortable, everything seemed to be sorted out well. The only issue was that the flight was delayed for an hour, but that is something you have to get use to when travelling around Africa.",,2018-06-24T19:19:28.000Z
Bad KQ Experience,"I have had several bad experiences with KQ, first time I was travelling from Nairobi to Addis Ababa, my bag was not delivered and I had to catch another domestic flight inside Ethiopia, I asked them if they could send me my bag to the address I was going to be, they told me no, they don’t do delivery. My stay was terrible due to this coz all my staffs, clothes etc were in that bag.My second bad experience is again with the same route, this time was flight from Addis to Nairobi, the flight was initially supposed to depart at 9:50am, I arrived at the airport at 7:30am, once arrived at the check-in desk agent told me there is a bit delay and advised that I shall go to final gate desk to confirm, at the final desk they told me the flight would depart at around 11am, but later changed to 12pm and finally they said it will be 13:30pm, I had connecting flight with boarding time at 14:55pm. I later missed my connection flight which was supposed to be 3:30pm, I had to go with 8:30pm flight, this was really terrible day for me. Overall experience was bad.",,2018-06-14T05:46:06.000Z
No concern for passenger clearly in pain,"I recently spent some time volunteering in Uganda and whilst I was there broke and dislocated my ankle quite badly. I needed to return home a few days earlier than planned, to undergo surgery, so rebooked a flight at additional cost and requested wheelchair assistance.Upon arrival at entebbe airport, then seemed unaware of my situation but did sort out some help. I also asked if it would be possible to be upgraded if there were spare seats in business class as it was important to keep my leg, which was in a cast, elevated as much as possible and particularly during a flight when it may swell more.The check in desk confirmed there were seats but that they couldn’t upgrade me there but that it should be possible in Nairobi where I would change to take an 8.5hr flight to London.At the gate in Nairobi I once again asked if it would be possible to sit in business class so I could elevate my leg. The man on the desk said that he couldn’t do anything without invoicing me but it was his attitude rather than refusal that really annoyed me. He was completely unsympathetic, laughing at me and treating me as if I was just trying to get some free perks. I was clearly in pain and the most annoying thing was that the flight was actually half full. As a goodwill gesture he’d ‘upgraded’ me to the seats with more legroom but as I explained to him when he did so, that would not help as there was nothing to rest my leg on, so it was still dangling down, putting pressure on the ankle and causing swelling. This seat was also very awkward to get in and out of due to the way the screens came out of the seat from the side and had no additional room to the side as the armrests were fixed. However, it did provide me with a great view of the business class section which was virtually empty, and I was galled to see there were several passengers in economy with at least 4 seats to themselves, enabling them to lie down for the entire flight and had they so wished to elevate their leg!  At no point had the man on the desk mentioned that there were many spare seats which would have enabled me to elevate my leg quite comfortably, despite me explaining the issue. None of the air hostesses expressed any concern for my situation throughout the flight despite my obvious discomfort and attempts to create a platform from bags and cushions to rest my leg on.Whilst I understand that other people have paid for the benefit of a business class seat, I felt that in extenuating circumstances such as this, particularly where it is a clear DVT risk, the airline could have made a goodwill gesture to ensure their passenger’s wellbeing and comfort. Had they done so it would have been a positive PR exercise for the company but as it stands I will not be recommending them to others and certainly won’t be rushing back to travel with ‘the pride of Africa’ any time soon.It topped off a disappointing end to what would have been a fascinating trip, but has left a sour taste in my mouth for this particular airline.",,2018-05-26T08:35:26.000Z
Kenya airways has arrogant staff and…,Kenya airways has arrogant staff and arrogant cabin crew.I flew KQ204 to MUMBAI on 3 Rd MAY 2018.They show hatred and argue lot.Pls don't fly  KENYA airways.,2,2018-05-05T17:02:46.000Z
No notification,"No notification, no assistance, below budget quality with high priceFlew them from Capetown to Kilimanjaro. The day before I got the standard reminder emails and checked into flights. I show up to airport where they don't have a counter because someone else operating flight and once past security I notice my last flight is different and instead of arriving at 7pm it will arrive at almost 4am. We try to address at airport but are told nothing to be done here. At the next stop we have to exit security and are passed around and eventually argue to get in a little earlier but we don't even get to discuss options and communication is very unclear.Long story short it ruined the whole day and took several hours extra in which I was out international phone fees, personal transport since we missed the group transport, and a lot of stress I was going to miss my mountain climb start. In the end I made it albeit sleep deprived.My issue is this was not weather or mechanical- it was merely them diverting the plane to another location.Their notification is horrible- I was NEVER notified but rather had to happen upon it on a boarding pass. I emailed and they offered nothing.I paid $1000 for 2 people months in advance because I wanted reliability. They did not deliver on the day of or after. I plan to protest with credit card.",,2018-03-02T17:52:55.000Z
Too many delays and they do not …,Too many delays and they do not compensate for delayed flights and luggage. I use them because I am on the loyalty programme but totally unhappy.,,2018-01-08T21:41:06.000Z
